sentence #,Word,Tag
0,Computer,B-Skill
0,Networks,I-Skill
0,Operating,O
0,System,O
0,worked,O
0,on,O
0,:,O
0,Linux,B-Skill
0,",",O
0,Windows,B-Skill
0,",",O
0,Mac,B-Skill
0,Non,O
0,Technical,O
0,Skills,O
0,Honest,O
0,and,O
0,Hard,O
0,Working,O
0,Tolerant,O
0,and,O
0,Flexible,O
0,to,O
0,Different,O
0,Situations,O
0,Polite,O
0,and,O
0,Calm,O
0,Team,O
0,Player,O
1,Afreen,O
1,Jamadar,O
1,Active,O
1,member,O
1,of,O
1,IIIT,O
1,Committee,O
1,in,O
1,Third,O
1,year,O
1,Sangli,O
1,",",O
1,Maharashtra,O
1,Email,O
1,me,O
1,on,O
1,Indeed,O
1,:,O
1,indeed,O
1,.,O
1,com,O
1,r,O
1,Afreen,O
1,Jamadar,O
1,8baf379b705e37c6,O
1,I,O
1,wish,O
1,to,O
1,use,O
1,my,O
1,knowledge,O
1,",",O
1,skills,O
1,and,O
1,conceptual,O
1,understanding,O
1,to,O
1,create,O
1,excellent,O
1,team,O
1,environments,O
1,and,O
1,work,O
1,consistently,O
1,achieving,O
1,organization,O
1,objectives,O
1,believes,O
1,in,O
1,taking,O
1,initiative,O
1,and,O
1,work,O
1,to,O
1,excellence,O
1,in,O
1,my,O
1,work,O
1,.,O
1,WORK,O
1,EXPERIENCE,O
1,Active,O
1,member,O
1,of,O
1,IIIT,O
1,Committee,O
1,in,O
1,Third,O
1,year,O
1,Cisco,O
1,Networking,O
1,Kanpur,O
1,",",O
1,Uttar,O
1,Pradesh,O
1,organized,O
1,by,O
1,Techkriti,O
1,IIT,O
1,Kanpur,O
1,and,O
1,Azure,O
1,Skynet,O
1,.,O
1,PERSONALLITY,O
1,TRAITS,O
1,:,O
1,Quick,O
1,learning,O
1,ability,O
1,hard,O
1,working,O
1,EDUCATION,O
1,PG,O
1,DAC,O
1,CDAC,O
1,ACTS,O
1,2017,O
1,Bachelor,O
1,of,O
1,Engg,O
1,in,O
1,Information,O
1,Technology,O
1,Shivaji,O
1,University,O
1,Kolhapur,O
1,Kolhapur,O
1,",",O
1,Maharashtra,O
1,2016,O
1,SKILLS,O
1,Database,B-Skill
1,Less,O
1,than,O
1,1,O
1,year,O
1,",",O
1,HTML,B-Skill
1,Less,O
1,than,O
1,1,O
1,year,O
1,",",O
1,Linux,B-Skill
1,.,O
1,Less,O
1,than,O
1,1,O
1,year,O
1,",",O
1,MICROSOFT,B-Skill
1,ACCESS,B-Skill
1,Less,O
1,than,O
1,1,O
1,year,O
1,",",O
1,MICROSOFT,B-Skill
1,WINDOWS,I-Skill
1,Less,O
1,than,O
1,1,O
1,year,O
1,ADDITIONAL,O
1,INFORMATION,O
1,TECHNICAL,O
1,SKILLS,O
1,:,O
1,Programming,O
1,Languages,O
1,:,O
1,C,B-Skill
1,",",O
1,C++,B-Skill
1,",",O
1,Java,B-Skill
1,",",O
1,.,O
1,net,O
1,",",O
1,php,B-Skill
1,.,O
1,Web,B-Skill
1,Designing,O
1,:,O
1,HTML,B-Skill
1,",",O
1,XML,B-Skill
1,Operating,O
1,Systems,O
1,:,O
1,Windows,B-Skill
1,Windows,B-Skill
1,Server,I-Skill
1,2003,O
1,",",O
1,Linux,B-Skill
1,.,O
1,Database,B-Skill
1,:,O
1,MS,B-Skill
1,Access,I-Skill
1,",",O
1,MS,B-Skill
1,SQL,I-Skill
1,Server,O
1,2008,O
1,",",O
1,Oracle,B-Skill
1,10g,I-Skill
1,",",O
1,MySql,B-Skill
1,.,O
1,https,O
1,:,O
1,www,O
1,.,O
1,indeed,O
1,.,O
1,com,O
1,r,O
1,Afreen,O
1,Jamadar,O
1,8baf379b705e37c6,O
1,?,O
1,isid,O
1,rex,O
1,download,O
1,ikw,O
1,download,O
1,top,O
1,co,O
1,IN,O
2,Akhil,O
2,Yadav,O
2,Polemaina,O
2,Hyderabad,O
2,",",O
2,Telangana,O
2,Email,O
2,me,O
2,on,O
2,Indeed,O
2,:,O
2,indeed,O
2,.,O
2,com,O
2,r,O
2,Akhil,O
2,Yadav,O
2,Polemaina,O
2,f6931801c51c63b1,O
2,Senior,O
2,System,O
2,Engineer,O
2,at,O
2,Infosys,O
2,with,O
2,3,O
2,.,O
2,2,O
2,years,O
2,of,O
2,experience,O
2,in,O
2,software,O
2,development,O
2,and,O
2,Maintenance,O
2,.,O
2,Maintained,O
2,data,O
2,processing,O
2,using,O
2,mainframe,O
2,technology,O
2,for,O
2,multiple,O
2,front,O
2,end,O
2,applications,O
2,of,O
2,Walmart,O
2,Retail,O
2,Link,O
2,platform,O
2,and,O
2,ensured,O
2,on,O
2,time,O
2,deliverables,O
2,.,O
2,Worked,O
2,on,O
2,automating,O
2,the,O
2,uses,O
2,cases,O
2,to,O
2,reduce,O
2,manual,O
2,effort,O
2,in,O
2,solving,O
2,repeating,O
2,incidents,O
2,using,O
2,Service,O
2,Now,O
2,orchestration,O
2,.,O
2,Possess,O
2,good,O
2,analytical,O
2,",",O
2,logical,O
2,ability,O
2,and,O
2,systematic,O
2,approach,O
2,to,O
2,problem,O
2,analysis,O
2,",",O
2,strong,O
2,debugging,O
2,and,O
2,troubleshooting,O
2,skills,O
2,.,O
2,Good,O
2,exposure,O
2,to,O
2,Retail,O
2,domain,O
2,.,O
2,Willing,O
2,to,O
2,relocate,O
2,to,O
2,:,O
2,hyderbad,O
2,",",O
2,Telangana,O
2,WORK,O
2,EXPERIENCE,O
2,Senior,O
2,Systems,O
2,Engineer,O
2,Infosys,O
2,Limited,O
2,Hyderabad,O
2,",",O
2,Telangana,O
2,January,O
2,2015,O
2,to,O
2,Present,O
2,Working,O
2,on,O
2,all,O
2,the,O
2,Major,O
2,and,O
2,Minor,O
2,Enhancement,O
2,requests,O
2,as,O
2,part,O
2,of,O
2,Maintenance,O
2,and,O
2,Support,O
2,activities,O
2,Identifying,O
2,and,O
2,fixing,O
2,all,O
2,the,O
2,major,O
2,defects,O
2,in,O
2,the,O
2,applications,O
2,",",O
2,perform,O
2,root,O
2,cause,O
2,analysis,O
2,for,O
2,production,O
2,issues,O
2,Being,O
2,a,O
2,subject,O
2,matter,O
2,expert,O
2,",",O
2,involved,O
2,in,O
2,multiple,O
2,Knowledge,O
2,transfer,O
2,and,O
2,knowledge,O
2,sharing,O
2,sessions,O
2,with,O
2,the,O
2,client,O
2,Leading,O
2,a,O
2,peer,O
2,group,O
2,and,O
2,taking,O
2,end,O
2,to,O
2,end,O
2,responsibilities,O
2,for,O
2,all,O
2,the,O
2,critical,O
2,issues,O
2,enhancements,O
2,.,O
2,Identifying,O
2,the,O
2,use,O
2,cases,O
2,which,O
2,can,O
2,be,O
2,automated,O
2,using,O
2,Service,O
2,Now,O
2,Orchestration,O
2,Creating,O
2,workflows,O
2,to,O
2,automate,O
2,various,O
2,tasks,O
2,which,O
2,involved,O
2,manual,O
2,intervention,O
2,Direct,O
2,interaction,O
2,with,O
2,the,O
2,client,O
2,on,O
2,various,O
2,business,O
2,impacting,O
2,issues,O
2,on,O
2,a,O
2,daily,O
2,basis,O
2,Setting,O
2,up,O
2,Weekly,O
2,Status,O
2,Review,O
2,meetings,O
2,and,O
2,Code,O
2,Review,O
2,meetings,O
2,with,O
2,the,O
2,client,O
2,Senior,O
2,Systems,O
2,Engineer,O
2,Infosys,O
2,Limited,O
2,Hyderabad,O
2,",",O
2,Telangana,O
2,January,O
2,2015,O
2,to,O
2,Present,O
2,Team,O
2,Size,O
2,5,O
2,Project,O
2,Objective,O
2,:,O
2,Providing,O
2,end,O
2,to,O
2,end,O
2,Maintenance,O
2,and,O
2,Support,O
2,activity,O
2,for,O
2,data,O
2,processing,O
2,of,O
2,the,O
2,most,O
2,critical,O
2,and,O
2,important,O
2,Web,O
2,portal,O
2,',O
2,Retail,O
2,Link,O
2,',O
2,along,O
2,with,O
2,over,O
2,40,O
2,applications,O
2,used,O
2,daily,O
2,by,O
2,all,O
2,the,O
2,Suppliers,O
2,and,O
2,Business,O
2,users,O
2,of,O
2,Walmart,O
2,",",O
2,the,O
2,largest,O
2,retailer,O
2,in,O
2,the,O
2,world,O
2,.,O
2,Retail,O
2,link,O
2,is,O
2,a,O
2,portal,O
2,which,O
2,hosts,O
2,100,O
2,',O
2,s,O
2,of,O
2,applications,O
2,developed,O
2,across,O
2,technologies,O
2,for,O
2,the,O
2,suppliers,O
2,which,O
2,help,O
2,them,O
2,to,O
2,carry,O
2,on,O
2,day,O
2,to,O
2,day,O
2,activities,O
2,right,O
2,from,O
2,on,O
2,boarding,O
2,to,O
2,tracking,O
2,their,O
2,sales,O
2,.,O
2,This,O
2,involves,O
2,supporting,O
2,https,O
2,:,O
2,www,O
2,.,O
2,indeed,O
2,.,O
2,com,O
2,r,O
2,Akhil,O
2,Yadav,O
2,Polemaina,O
2,f6931801c51c63b1,O
2,?,O
2,isid,O
2,rex,O
2,download,O
2,ikw,O
2,download,O
2,top,O
2,co,O
2,IN,O
2,https,O
2,:,O
2,www,O
2,.,O
2,indeed,O
2,.,O
2,com,O
2,r,O
2,Akhil,O
2,Yadav,O
2,Polemaina,O
2,f6931801c51c63b1,O
2,?,O
2,isid,O
2,rex,O
2,download,O
2,ikw,O
2,download,O
2,top,O
2,co,O
2,IN,O
2,various,O
2,Decision,O
2,Support,O
2,System,O
2,reports,O
2,which,O
2,helps,O
2,the,O
2,higher,O
2,management,O
2,to,O
2,take,O
2,business,O
2,critical,O
2,decisions,O
2,.,O
2,Responsibilities,O
2,:,O
2,Working,O
2,on,O
2,all,O
2,the,O
2,Major,O
2,and,O
2,Minor,O
2,Enhancement,O
2,requests,O
2,as,O
2,part,O
2,of,O
2,Maintenance,O
2,and,O
2,Support,O
2,activities,O
2,Identifying,O
2,and,O
2,fixing,O
2,all,O
2,the,O
2,major,O
2,defects,O
2,in,O
2,the,O
2,applications,O
2,",",O
2,perform,O
2,root,O
2,cause,O
2,analysis,O
2,for,O
2,production,O
2,issues,O
2,Being,O
2,a,O
2,subject,O
2,matter,O
2,expert,O
2,",",O
2,involved,O
2,in,O
2,multiple,O
2,Knowledge,O
2,transfer,O
2,and,O
2,knowledge,O
2,sharing,O
2,sessions,O
2,with,O
2,the,O
2,client,O
2,Leading,O
2,a,O
2,peer,O
2,group,O
2,and,O
2,taking,O
2,end,O
2,to,O
2,end,O
2,responsibilities,O
2,for,O
2,all,O
2,the,O
2,critical,O
2,issues,O
2,enhancements,O
2,.,O
2,Identifying,O
2,the,O
2,use,O
2,cases,O
2,which,O
2,can,O
2,be,O
2,automated,O
2,using,O
2,Service,O
2,Now,O
2,Orchestration,O
2,Creating,O
2,workflows,O
2,to,O
2,automate,O
2,various,O
2,tasks,O
2,which,O
2,involved,O
2,manual,O
2,intervention,O
2,Direct,O
2,interaction,O
2,with,O
2,the,O
2,client,O
2,on,O
2,various,O
2,business,O
2,impacting,O
2,issues,O
2,on,O
2,a,O
2,daily,O
2,basis,O
2,Setting,O
2,up,O
2,Weekly,O
2,Status,O
2,Review,O
2,meetings,O
2,and,O
2,Code,O
2,Review,O
2,meetings,O
2,with,O
2,the,O
2,client,O
2,EDUCATION,O
2,Electrical,O
2,and,O
2,Electronics,O
2,Engineering,O
2,Anurag,O
2,College,O
2,of,O
2,Engineering,O
2,Jntuh,O
2,SKILLS,O
2,servicenow,B-Skill
2,1,O
2,year,O
2,",",O
2,Mainframe,B-Skill
2,3,O
2,years,O
2,",",O
2,cobol,B-Skill
2,3,O
2,years,O
2,",",O
2,Jcl,B-Skill
2,3,O
2,years,O
2,",",O
2,Teradata,B-Skill
2,3,O
2,years,O
2,ADDITIONAL,O
2,INFORMATION,O
2,Technical,O
2,Skills,O
2,Domain,O
2,Retail,O
2,Technology,O
2,Mainframe,B-Skill
2,COBOL,O
2,",",O
2,JCL,O
2,",",O
2,DB2,O
2,",",O
2,Teradata,B-Skill
2,",",O
2,Service,O
2,now,O
2,.,O
2,Operating,O
2,System,O
2,Mainframe,B-Skill
2,z,O
2,OS,O
2,Database,O
2,DB2,O
2,",",O
2,SQL,O
2,",",O
2,Teradata,B-Skill
2,.,O
2,Utilities,O
2,FILE,O
2,AID,O
2,",",O
2,IDCAMS,O
2,",",O
2,DFSORT,O
2,basics,O
2,",",O
2,LIBRARIAN,O
2,",",O
2,FTP,O
2,SFTP,O
2,",",O
2,CA,O
2,7,O
2,basics,O
2,.,O
2,Tools,O
2,Query,O
2,Management,O
2,Tool,O
2,QMF,O
2,",",O
2,SQL,O
2,Assistant,O
2,",",O
2,Service,O
2,now,O
2,",",O
2,Remedy,O
2,.,O
2,Key,O
2,Strengths,O
2,:,O
2,Effective,O
2,Communication,O
2,Skills,O
2,and,O
2,Zeal,O
2,to,O
2,learn,O
2,.,O
2,Flexibility,O
2,and,O
2,Adaptability,O
2,.,O
2,Good,O
2,Leadership,O
2,Qualities,O
2,.,O
2,Analytical,O
2,and,O
2,Problem,O
2,Solving,O
2,Skills,O
2,.,O
2,Achievements,O
2,:,O
2,Received,O
2,STAR,O
2,award,O
2,for,O
2,working,O
2,on,O
2,various,O
2,system,O
2,improvement,O
2,and,O
2,automation,O
2,activities,O
2,Received,O
2,multiple,O
2,INSTA,O
2,awards,O
2,for,O
2,my,O
2,performance,O
2,in,O
2,the,O
2,projects,O
2,worked,O
3,Alok,O
3,Khandai,O
3,Operational,O
3,Analyst,O
3,SQL,B-Skill
3,DBA,O
3,Engineer,O
3,UNISYS,O
3,Bengaluru,O
3,",",O
3,Karnataka,O
3,Email,O
3,me,O
3,on,O
3,Indeed,O
3,:,O
3,indeed,O
3,.,O
3,com,O
3,r,O
3,Alok,O
3,Khandai,O
3,5be849e443b8f467,O
3,Having,O
3,3,O
3,.,O
3,5,O
3,Years,O
3,of,O
3,IT,O
3,experience,O
3,in,O
3,SQL,B-Skill
3,Database,B-Skill
3,Administration,O
3,",",O
3,System,O
3,Analysis,O
3,",",O
3,Design,O
3,",",O
3,Development,B-Skill
3,Support,O
3,of,O
3,MS,B-Skill
3,SQL,B-Skill
3,Servers,O
3,in,O
3,Production,O
3,",",O
3,Development,B-Skill
3,environments,O
3,Replication,O
3,and,O
3,Cluster,O
3,Server,O
3,Environments,O
3,.,O
3,Working,O
3,Experience,O
3,with,O
3,relational,O
3,database,O
3,such,O
3,as,O
3,SQL,B-Skill
3,.,O
3,Experience,O
3,in,O
3,Installation,O
3,",",O
3,Configuration,O
3,",",O
3,Maintenance,O
3,and,O
3,Administration,O
3,of,O
3,SQL,B-Skill
3,Server,O
3,.,O
3,Experience,O
3,in,O
3,upgrading,O
3,SQL,B-Skill
3,Server,O
3,.,O
3,Good,O
3,experience,O
3,with,O
3,implementing,O
3,DR,O
3,solution,O
3,",",O
3,High,O
3,Availability,O
3,of,O
3,database,O
3,servers,O
3,using,O
3,Database,B-Skill
3,mirroring,O
3,and,O
3,replications,O
3,and,O
3,Log,O
3,Shipping,O
3,.,O
3,Experience,O
3,in,O
3,implementing,O
3,SQL,B-Skill
3,Server,O
3,security,O
3,and,O
3,Object,O
3,permissions,O
3,like,O
3,maintaining,O
3,Database,B-Skill
3,authentication,O
3,modes,O
3,",",O
3,creation,O
3,of,O
3,users,O
3,",",O
3,configuring,O
3,permissions,O
3,and,O
3,assigning,O
3,roles,O
3,to,O
3,users,O
3,.,O
3,Experience,O
3,in,O
3,creating,O
3,Jobs,O
3,",",O
3,Alerts,O
3,",",O
3,SQL,B-Skill
3,Mail,O
3,Agent,O
3,Experience,O
3,in,O
3,performing,O
3,integrity,O
3,checks,O
3,.,O
3,Methods,O
3,include,O
3,configuring,O
3,the,O
3,database,O
3,maintenance,O
3,plan,O
3,wizard,O
3,and,O
3,DBCC,O
3,utilities,O
3,Experience,O
3,in,O
3,using,O
3,Performance,O
3,Monitor,O
3,",",O
3,SQL,B-Skill
3,Profiler,O
3,and,O
3,optimizing,O
3,the,O
3,queries,O
3,",",O
3,tracing,O
3,long,O
3,running,O
3,queries,O
3,and,O
3,deadlocks,O
3,.,O
3,Experience,O
3,in,O
3,applying,O
3,patches,O
3,and,O
3,service,O
3,packs,O
3,to,O
3,keep,O
3,the,O
3,database,O
3,at,O
3,current,O
3,patch,O
3,level,O
3,.,O
3,Ability,O
3,to,O
3,manage,O
3,own,O
3,work,O
3,and,O
3,multitask,O
3,to,O
3,meet,O
3,tight,O
3,deadlines,O
3,without,O
3,losing,O
3,sight,O
3,of,O
3,priorities,O
3,.,O
3,.,O
3,Willing,O
3,to,O
3,relocate,O
3,to,O
3,:,O
3,Bengaluru,O
3,",",O
3,Karnataka,O
3,WORK,O
3,EXPERIENCE,O
3,Operational,O
3,Analyst,O
3,SQL,B-Skill
3,DBA,O
3,Engineer,O
3,UNISYS,O
3,Bengaluru,O
3,",",O
3,Karnataka,O
3,July,O
3,2016,O
3,to,O
3,Present,O
3,Having,O
3,3,O
3,.,O
3,5,O
3,Years,O
3,of,O
3,IT,O
3,experience,O
3,in,O
3,SQL,B-Skill
3,Database,B-Skill
3,Administration,O
3,",",O
3,System,O
3,Analysis,O
3,",",O
3,Design,O
3,",",O
3,Development,B-Skill
3,Support,O
3,of,O
3,MS,B-Skill
3,SQL,B-Skill
3,Servers,O
3,in,O
3,Production,O
3,",",O
3,Development,B-Skill
3,environments,O
3,Replication,O
3,and,O
3,Cluster,O
3,Server,O
3,Environments,O
3,.,O
3,Working,O
3,Experience,O
3,with,O
3,relational,O
3,database,O
3,such,O
3,as,O
3,SQL,B-Skill
3,.,O
3,Experience,O
3,in,O
3,Installation,O
3,",",O
3,Configuration,O
3,",",O
3,Maintenance,O
3,and,O
3,Administration,O
3,of,O
3,SQL,B-Skill
3,Server,O
3,.,O
3,Experience,O
3,in,O
3,upgrading,O
3,SQL,B-Skill
3,Server,O
3,.,O
3,Good,O
3,experience,O
3,with,O
3,implementing,O
3,DR,O
3,solution,O
3,",",O
3,High,O
3,Availability,O
3,of,O
3,database,O
3,servers,O
3,using,O
3,Database,B-Skill
3,mirroring,O
3,and,O
3,replications,O
3,and,O
3,Log,O
3,Shipping,O
3,.,O
3,Experience,O
3,in,O
3,implementing,O
3,SQL,B-Skill
3,Server,O
3,security,O
3,and,O
3,Object,O
3,permissions,O
3,like,O
3,maintaining,O
3,Database,B-Skill
3,authentication,O
3,modes,O
3,",",O
3,creation,O
3,of,O
3,users,O
3,",",O
3,configuring,O
3,permissions,O
3,and,O
3,assigning,O
3,roles,O
3,to,O
3,users,O
3,.,O
3,DBA,O
3,Support,O
3,Analyst,O
3,Microsoft,O
3,Corporation,O
3,Redmond,O
3,",",O
3,WA,O
3,https,O
3,:,O
3,www,O
3,.,O
3,indeed,O
3,.,O
3,com,O
3,r,O
3,Alok,O
3,Khandai,O
3,5be849e443b8f467,O
3,?,O
3,isid,O
3,rex,O
3,download,O
3,ikw,O
3,download,O
3,top,O
3,co,O
3,IN,O
3,July,O
3,2016,O
3,to,O
3,Present,O
3,Client,O
3,Description,O
3,:,O
3,Microsoft,O
3,Corporation,O
3,is,O
3,an,O
3,American,O
3,public,O
3,multinational,O
3,corporation,O
3,headquartered,O
3,in,O
3,Redmond,O
3,",",O
3,Washington,O
3,",",O
3,USA,O
3,that,O
3,develops,O
3,",",O
3,manufactures,O
3,",",O
3,licenses,O
3,",",O
3,and,O
3,supports,O
3,a,O
3,wide,O
3,range,O
3,of,O
3,products,O
3,and,O
3,services,O
3,predominantly,O
3,related,O
3,to,O
3,computing,O
3,through,O
3,its,O
3,various,O
3,product,O
3,divisions,O
3,.,O
3,Environment,O
3,:,O
3,Microsoft,O
3,has,O
3,E2E,O
3,development,O
3,and,O
3,production,O
3,environment,O
3,of,O
3,more,O
3,than,O
3,25000,O
3,servers,O
3,and,O
3,applications,O
3,.,O
3,We,O
3,are,O
3,responsible,O
3,for,O
3,pro,O
3,active,O
3,monitoring,O
3,of,O
3,all,O
3,the,O
3,servers,O
3,and,O
3,their,O
3,jobs,O
3,using,O
3,monitoring,O
3,tools,O
3,to,O
3,reduce,O
3,critical,O
3,business,O
3,impact,O
3,by,O
3,alerting,O
3,respective,O
3,peer,O
3,teams,O
3,.,O
3,Microsoft,O
3,Service,B-Skill
3,Enterprise,O
3,an,O
3,ITSM,O
3,tools,O
3,are,O
3,used,O
3,for,O
3,ticketing,O
3,and,O
3,SharePoint,O
3,portal,O
3,is,O
3,used,O
3,to,O
3,store,O
3,all,O
3,technical,O
3,and,O
3,process,O
3,documentation,O
3,.,O
3,Roles,O
3,and,O
3,Responsibilities,O
3,:,O
3,Responsible,O
3,for,O
3,Database,B-Skill
3,support,O
3,",",O
3,troubleshooting,O
3,",",O
3,planning,O
3,and,O
3,migration,O
3,.,O
3,Resource,O
3,planning,O
3,and,O
3,coordination,O
3,for,O
3,application,O
3,migrations,O
3,with,O
3,project,O
3,managers,O
3,",",O
3,application,O
3,and,O
3,web,O
3,app,O
3,teams,O
3,.,O
3,Project,O
3,involved,O
3,guidance,O
3,and,O
3,adherence,O
3,to,O
3,standardized,O
3,procedures,O
3,for,O
3,planned,O
3,data,O
3,center,O
3,consolidation,O
3,for,O
3,worldwide,O
3,centers,O
3,using,O
3,in,O
3,house,O
3,corporate,O
3,and,O
3,third,O
3,party,O
3,applications,O
3,based,O
3,on,O
3,SQL,B-Skill
3,2000,O
3,in,O
3,upgrade,O
3,project,O
3,to,O
3,SQL,B-Skill
3,2005,I-Skill
3,.,O
3,Monitoring,O
3,of,O
3,database,O
3,size,O
3,and,O
3,disk,O
3,space,O
3,in,O
3,Production,O
3,",",O
3,Staging,O
3,Development,B-Skill
3,environments,O
3,Performed,O
3,installation,O
3,of,O
3,SQL,B-Skill
3,Enterprise,O
3,2005,O
3,64bit,O
3,version,O
3,on,O
3,Windows,O
3,2003,O
3,servers,O
3,on,O
3,Enterprise,O
3,systems,O
3,of,O
3,clustered,O
3,and,O
3,standalone,O
3,servers,O
3,in,O
3,enterprise,O
3,Data,O
3,Centers,O
3,.,O
3,Patch,O
3,applications,O
3,.,O
3,Failover,O
3,cluster,O
3,testing,O
3,and,O
3,resolution,O
3,on,O
3,HP,O
3,servers,O
3,as,O
3,well,O
3,as,O
3,monitoring,O
3,and,O
3,backup,O
3,reporting,O
3,setup,O
3,with,O
3,Microsoft,O
3,Operations,O
3,Manager,O
3,and,O
3,backup,O
3,teams,O
3,.,O
3,Working,O
3,in,O
3,Microsoft,O
3,production,O
3,environment,O
3,which,O
3,includes,O
3,applications,O
3,and,O
3,servers,O
3,.,O
3,Configured,O
3,Transactional,O
3,Replication,O
3,and,O
3,Log,O
3,Shipping,O
3,with,O
3,SQL,B-Skill
3,Server,O
3,Management,O
3,Studio,O
3,as,O
3,well,O
3,as,O
3,basic,O
3,account,O
3,management,O
3,and,O
3,troubleshooting,O
3,with,O
3,connectivity,O
3,",",O
3,security,O
3,and,O
3,firewall,O
3,issues,O
3,.,O
3,Handling,O
3,issues,O
3,related,O
3,to,O
3,Server,O
3,Availability,O
3,",",O
3,Performance,O
3,.,O
3,Performed,O
3,Production,O
3,support,O
3,and,O
3,on,O
3,Call,O
3,duties,O
3,Conducted,O
3,Performance,O
3,Tuning,O
3,using,O
3,SQL,B-Skill
3,Profiler,O
3,and,O
3,Windows,O
3,Performance,O
3,Monitor,O
3,.,O
3,Worked,O
3,with,O
3,various,O
3,business,O
3,groups,O
3,while,O
3,developing,O
3,their,O
3,applications,O
3,",",O
3,assisting,O
3,in,O
3,database,O
3,design,O
3,",",O
3,installing,O
3,SQL,B-Skill
3,Server,O
3,clients,O
3,",",O
3,phasing,O
3,from,O
3,development,O
3,to,O
3,QA,O
3,and,O
3,to,O
3,Production,O
3,environment,O
3,.,O
3,Previous,O
3,Project,O
3,Project,O
3,Title,O
3,:,O
3,Finance,O
3,Support,O
3,Client,O
3,:,O
3,Costco,O
3,Wholesale,O
3,Corporation,O
3,USA,O
3,Team,O
3,size,O
3,:,O
3,22,O
3,Role,O
3,:,O
3,DBA,O
3,Support,O
3,Analyst,O
3,Environment,O
3,:,O
3,Window,O
3,10,O
3,SQL,B-Skill
3,DBA,O
3,Analyst,O
3,Engineer,O
3,HCL,O
3,Technologies,O
3,Bengaluru,O
3,",",O
3,Karnataka,O
3,November,O
3,2014,O
3,to,O
3,July,O
3,2016,O
3,Performed,O
3,server,O
3,installation,O
3,and,O
